age.mon,tl.cm,cohort
42,17.1241,1987
44,18.0148,1987
51,17.9809,1987
52,18.1535,1987
53,18.3083,1987
42,16.8478,1988
43,16.8624,1988
44,17.1867,1988
45,18.0486,1988
46,17.3404,1988
18,11.5294,1989
19,13.0509,1989
20,12.4287,1989
21,13.1998,1989
22,12.819,1989
23,11.9597,1989
25,13.0754,1989
26,13.0995,1989
27,13.9787,1989
28,14.6792,1989
29,15.377,1989
41,16.5046,1989
45,17.4766,1989
6,8.6266,1990
13,7.4009,1990
14,8.4806,1990
15,9.6337,1990
17,11.2526,1990
18,11.3364,1990
19,12.862,1990
20,11.4952,1990
21,13.4054,1990
22,11.8502,1990
23,11.8197,1990
24,13.6817,1990
25,13.8239,1990
26,14.9091,1990
27,14.8483,1990
28,14.9614,1990
33,15.1157,1990
36,15.8694,1990
41,16.4965,1990
45,17.7421,1990
47,18.0069,1990
49,17.844,1990
6,7.9393,1991
9,6.9484,1991
10,8.7208,1991
11,8.4973,1991
12,8.4378,1991
18,11.3857,1991
19,11.2583,1991
20,12.5973,1991
21,12.5987,1991
22,13.1335,1991
23,11.7836,1991
24,12.0417,1991
25,14.0973,1991
26,14.7569,1991
27,15.1977,1991
28,15.3427,1991
42,16.4561,1991
6,8.5679,1992
12,6.4635,1992
13,6.9,1992
14,9.7899,1992
15,9.7975,1992
16,8.4694,1992
17,9.1287,1992
18,10.463,1992
19,12.8102,1992
20,12.5973,1992
21,13.4951,1992
22,12.9134,1992
23,13.6258,1992
24,12.0511,1992
25,12.9503,1992
26,14.172,1992
27,14.1533,1992
28,14.6359,1992
29,14.9057,1992
31,15.7143,1992
33,15.5676,1992
39,16.7688,1992
41,17.067,1992
42,17.3965,1992
10,7.5552,1993
11,8.1681,1993
13,8.1546,1993
14,8.7297,1993
15,9.6959,1993
17,10.0488,1993
18,11.637,1993
19,13.0402,1993
20,13.3053,1993
21,13.3019,1993
22,14.6108,1993
23,14.8398,1993
24,13.5473,1993
25,14.3114,1993
26,14.5,1993
28,15.56,1993
30,14.5122,1993
31,15.6528,1993
32,15.6633,1993
33,16.2765,1993
34,16.0187,1993
35,16.1864,1993
36,16.7116,1993
37,16.0213,1993
38,15.4304,1993
39,16.4625,1993
44,16.6606,1993
4,6.5375,1994
5,7.4254,1994
6,9.2613,1994
9,9.1706,1994
10,8.0442,1994
11,7.5017,1994
12,8.0299,1994
13,8.2835,1994
14,9.5656,1994
15,10.0493,1994
16,11.4724,1994
17,13.1064,1994
19,11.6656,1994
20,12.1909,1994
21,13.363,1994
22,12.7113,1994
23,13.6953,1994
30,14.7975,1994
31,15.1634,1994
33,14.8676,1994
34,15.4836,1994
35,16.0393,1994
36,15.6635,1994
37,15.4032,1994
38,16.1377,1994
39,16.08,1994
42,16.5943,1994
6,9.0883,1995
10,7.2744,1995
12,8.1303,1995
13,8.1204,1995
14,8.6207,1995
15,10.5024,1995
19,10.8292,1995
20,12.2198,1995
21,11.6833,1995
25,12.8183,1995
26,12.9112,1995
28,15.2222,1995
30,13.8114,1995
31,14.9873,1995
33,15.5357,1995
34,14.7817,1995
45,16.6428,1995
13,9.9586,1996
14,9.7623,1996
15,11.7658,1996
16,12.3129,1996
18,10.5121,1996
19,11.0087,1996
20,11.2683,1996
21,11.8203,1996
22,12.7877,1996
23,13.9479,1996
24,13.6132,1996
25,13.1192,1996
26,12.9016,1996
27,13.6002,1996
28,13.8872,1996
29,14.1368,1996
30,15.1134,1996
31,14.8125,1996
32,15,1996
33,14.7062,1996
34,15.3759,1996
35,15.5361,1996
36,15.4277,1996
38,15.8653,1996
40,16.7621,1996
41,16.6453,1996
47,16.8597,1996
4,8.5625,1997
10,10.7365,1997
11,9.7578,1997
14,9.0323,1997
15,9.4646,1997
18,12.076,1997
19,11.3299,1997
20,11.5893,1997
21,12.1355,1997
22,12.2727,1997
23,12.2896,1997
24,12.1653,1997
25,13.2515,1997
26,14.2855,1997
27,14.0393,1997
28,14.4977,1997
29,15.1039,1997
30,15.5834,1997
31,13.5943,1997
32,15.8186,1997
33,16.1076,1997
34,16.1867,1997
35,14.0623,1997
