UID,fishID,specCode,length,weight,count
1,1,116,100,,1
1,2,116,100,,1
1,3,118,298,300,1
1,4,118,280,270,1
1,5,118,465,1790,1
1,6,118,315,360,1
1,7,118,427,1150,1
1,8,118,254,210,1
1,9,118,354,660,1
1,10,118,394,880,1
1,11,118,345,550,1
1,,122,110,,3
1,,122,100,,2
1,,122,120,,1
1,,122,140,,3
1,,122,70,,2
1,,122,60,,1
1,12,122,205,180,1
1,13,122,154,80,1
1,14,122,162,90,1
1,15,122,160,80,1
1,16,122,160,90,1
1,17,122,195,170,1
2,1,118,130,,1
2,2,118,321,370,1
2,3,118,170,,1
2,4,118,267,270,1
2,5,118,190,,1
2,6,118,316,410,1
2,7,118,317,390,1
2,8,118,383,730,1
2,,122,40,,1
2,,122,60,,1
2,,122,100,,2
2,9,122,193,160,1
2,,122,120,,1
2,10,122,182,140,1
2,,122,140,,2
2,11,122,161,100,1
2,,122,160,,1
2,12,122,174,110,1
2,13,122,153,80,1
2,14,122,198,170,1
2,15,122,154,70,1
2,16,122,158,90,1
2,17,122,163,110,1
2,18,122,182,150,1
2,19,122,179,130,1
3,1,118,320,410,1
3,,118,180,,1
4,1,118,277,250,1
4,2,118,286,280,1
4,3,118,304,330,1
4,4,118,300,270,1
4,5,118,317,370,1
4,6,118,316,360,1
4,7,122,183,160,1
4,8,122,160,100,1
4,9,122,151,90,1
5,1,118,365,780,1
5,,118,170,,1
5,2,118,292,300,1
5,3,118,340,430,1
5,4,118,400,1010,1
5,5,118,331,490,1
5,6,118,272,240,1
5,7,118,338,450,1
5,,122,80,,1
5,,122,110,,3
5,,122,100,,1
5,,122,120,,1
5,,122,140,,1
5,8,122,190,160,1
5,9,122,165,100,1
5,10,122,178,140,1
5,11,122,163,100,1
5,12,122,176,130,1
5,13,122,161,80,1
5,14,122,168,110,1
6,,122,40,,1
6,,122,50,,3
6,,122,60,,3
6,,122,70,,3
6,,122,100,,1
6,,122,120,,1
6,,122,130,,1
6,,122,150,,1
6,,122,160,,2
6,,122,180,,2
7,1,118,498,1610,1
7,,118,130,,1
7,2,118,453,1290,1
7,3,118,354,530,1
7,4,118,420,1060,1
7,5,118,304,330,1
7,6,118,298,300,1
7,7,118,271,230,1
7,8,118,331,480,1
7,9,118,292,320,1
7,10,118,262,210,1
7,11,122,182,120,1
7,12,122,175,120,1
7,13,122,174,120,1
8,1,118,265,220,1
8,,118,160,,2
8,2,118,341,500,1
8,,118,150,,2
8,3,118,271,230,1
8,,122,80,,2
8,,122,100,,1
8,,122,110,,1
8,,122,120,,2
8,,122,130,,2
8,,122,140,,2
9,1,118,312,360,1
9,,122,100,,1
10,1,116,90,,1
10,2,116,356,520,1
10,3,116,465,1140,1
10,4,116,279,260,1
10,5,118,297,310,1
10,6,118,180,,1
10,7,118,381,710,1
10,8,118,160,,1
10,9,118,260,190,1
10,10,118,170,,1
10,11,118,311,410,1
10,12,118,305,340,1
10,13,118,269,220,1
10,14,118,318,390,1
10,15,118,298,280,1
10,16,118,275,240,1
10,17,118,290,320,1
10,18,118,327,410,1
10,19,118,286,280,1
10,20,118,202,100,1
11,1,116,232,140,1
11,2,116,315,380,1
11,3,116,462,1210,1
11,4,118,263,180,1
11,5,118,268,220,1
11,,122,190,,1
11,6,122,168,,1
12,1,118,327,400,1
12,,122,60,,2
12,2,122,165,90,1
12,,122,130,,1
12,3,122,152,80,1
12,4,122,169,100,1
12,5,122,189,150,1
13,1,118,340,470,1
13,,122,140,,1
13,2,122,196,170,1
13,,122,130,,1
13,3,122,165,90,1
13,,122,50,,1
13,4,122,171,120,1
13,,122,120,,1
13,5,122,163,80,1
14,1,116,470,1360,1
14,,118,160,,1
14,2,118,446,1250,1
14,,118,150,,1
14,3,118,355,690,1
14,4,118,365,590,1
14,5,118,330,510,1
14,6,118,328,410,1
14,7,118,274,230,1
14,8,118,362,630,1
14,9,118,305,360,1
14,,122,130,,1
14,,122,110,,1
14,10,122,150,60,1
15,1,118,328,410,1
15,2,118,326,370,1
15,3,118,320,380,1
15,4,118,311,370,1
15,5,118,372,570,1
15,6,118,341,440,1
15,,122,160,,1
15,,122,140,,1
15,,122,80,,1
15,7,122,193,180,1
15,8,122,158,90,1
16,1,118,278,190,1
16,,118,162,,1
16,,118,161,,1
16,,118,90,,1
16,2,122,184,120,1
16,3,122,193,180,1
16,,122,140,,1
16,,122,90,,1
17,3,118,380,600,1
17,1,122,155,90,1
17,,122,70,,1
17,2,122,183,130,1
17,,122,140,,1
18,1,118,475,1680,1
18,,118,110,,1
18,,122,60,,1
18,,122,40,,1
19,1,118,432,1050,1
19,,118,100,,1
19,2,118,240,180,1
19,,118,90,,1
19,3,118,310,380,1
19,4,118,304,350,1
19,5,118,271,240,1
19,6,118,390,690,1
19,7,118,323,390,1
19,8,118,323,350,1
19,9,118,320,440,1
19,10,118,309,380,1
19,11,118,296,300,1
19,12,118,251,160,1
19,,122,140,,1
19,,122,130,,3
19,,122,100,,2
19,,122,70,,1
19,,122,90,,1
19,13,122,150,80,1
19,14,122,185,160,1
19,15,122,170,120,1
19,16,122,183,140,1
19,17,122,174,130,1
19,18,122,195,180,1
19,19,122,191,160,1
19,20,122,184,160,1
19,21,122,191,130,1
19,22,122,174,120,1
19,23,122,156,80,1
19,24,122,153,80,1
19,25,122,187,140,1
19,26,122,184,150,1
20,1,118,460,1460,1
20,,118,80,,1
20,2,118,382,750,1
20,,118,160,,1
20,3,118,318,390,1
20,,118,180,,1
20,4,118,302,290,1
20,,118,90,,1
20,5,118,328,390,1
20,,118,150,,1
20,6,118,325,440,1
20,7,118,316,370,1
20,8,118,319,410,1
20,9,118,364,560,1
20,10,118,340,450,1
20,11,118,290,280,1
20,12,118,247,200,1
20,13,118,272,250,1
20,14,118,305,330,1
20,,122,50,,1
20,,122,60,,1
20,,122,80,,2
20,,122,110,,2
20,,122,130,,1
20,,122,140,,1
20,15,122,199,190,1
20,16,122,178,120,1
20,17,122,187,170,1
20,18,122,184,150,1
20,19,122,166,100,1
20,20,122,168,110,1
20,21,122,171,120,1
