id,tl,fl,sl,w,otorad,age,sex
18,225,202,185,76,0.8403,8,F
512,247,226,212,138,0.8787,6,F
307,256,235,209,120,0.8431,6,F
52,268,241,228,170,0.9436,9,F
84,285,262,240,185,0.9896,7,F
37,288,265,244,182,0.9607,9,F
80,295,270,243,205,1.049,7,F
36,324,295,273,275,1.052,10,F
17,328,297,278,285,0.9898,7,F
59,330,299,280,297,0.9825,10,F
308,330,304,278,305,1.139,8,F
34,331,301,280,340,1.165,12,F
532,331,310,287,370,0.9246,6,F
35,340,312,288,370,0.9985,8,F
29,343,310,293,331,1.077,12,F
72,344,312,285,355,0.8278,6,F
70,348,317,294,329,1.077,9,F
33,360,327,317,440,1.091,10,F
44,367,331,304,375,1.122,9,F
505,382,346,324,525,1.146,11,F
81,383,350,323,430,1.161,7,F
69,387,353,325,465,1.13,10,F
315,415,383,351,580,1.303,10,F
533,415,378,359,705,1.089,8,F
310,416,378,341,580,1.229,12,F
86,417,380,352,745,1.143,11,F
22,424,392,361,841,1.286,17,F
78,425,385,259,730,1.104,9,F
71,428,389,360,600,1.121,11,F
313,433,400,369,740,1.279,12,F
49,443,403,378,795,1.238,13,F
510,443,404,378,840,1.348,18,F
316,445,405,375,970,1.424,11,F
32,448,406,378,928,1.28,15,F
312,459,423,387,950,1.365,13,F
31,462,420,394,929,1.339,12,F
45,465,432,399,1000,1.418,18,F
7,477,434,401,1100,1.455,17,F
58,480,438,404,1100,1.317,14,F
83,482,440,406,1150,1.516,17,F
21,488,446,415,1260,1.449,21,F
501,490,445,409,1050,1.268,16,F
8,490,448,415,1200,1.467,19,F
16,495,450,416,1300,1.291,17,F
503,509,460,425,1120,1.378,13,F
6,525,430,444,1500,1.761,27,F
507,544,495,453,930,1.762,43,F
74,206,188,174,71,0.9262,5,M
62,208,190,173,70,0.7028,3,M
306,215,196,178,86,0.9034,6,M
518,215,200,185,88,0.777,6,M
528,221,201,193,97,0.8403,4,M
303,228,208,187,98,0.824,6,M
520,230,215,191,98,0.8205,6,M
76,263,238,223,155,0.8607,6,M
11,280,253,235,172,0.9453,7,M
73,283,256,237,208,0.7998,7,M
3,285,260,241,195,0.746,4,M
506,300,273,254,235,0.9591,7,M
60,305,277,256,250,1.024,8,M
522,312,287,354,250,1.01,11,M
523,341,321,285,375,0.8689,6,M
5,356,325,299,355,1.042,9,M
309,368,333,304,460,1.224,10,M
4,370,337,310,375,1.056,8,M
515,387,365,330,638,1.18,11,M
521,413,375,344,760,1.221,11,M
15,418,380,351,725,1.165,11,M
46,421,385,358,641,1.175,9,M
14,423,385,360,747,1.23,12,M
47,432,387,361,631,1.174,10,M
516,432,406,365,895,1.184,14,M
67,435,397,366,810,1.175,11,M
87,444,405,374,870,1.354,15,M
56,454,411,381,895,1.214,15,M
317,455,414,376,1100,1.56,25,M
314,472,433,398,1150,1.422,25,M
68,477,440,405,1040,1.318,50,M
509,482,440,410,1100,1.068,11,M
41,482,437,404,1050,1.522,24,M
504,484,434,407,1030,1.351,14,M
57,493,452,417,1050,1.4,17,M
48,502,458,420,1450,1.591,23,M
30,505,464,430,1400,1.39,17,M
502,511,466,429,1490,1.548,32,M
9,567,510,460,1400,1.702,34,M
