year,stock,recruits
1964,9.06118584990301,11.1228327490456
1965,14.9992470023677,2.05648867141363
1966,13.3297716031958,9.86506767931544
1967,15.0443123075335,9.05212919313621
1968,15.5646139321846,2.06060576447715
1969,10.6973922841111,7.41125655125559
1970,14.7464149646569,1.65864333475031
1971,16.7098773054824,5.30685828458275
1972,32.5572474570191,8.85515698960749
1973,27.6327040335246,11.3930098923641
1974,41.9718854461587,3.54309273610898
1975,20.3280153269547,1.68708130934721
1976,29.1950741047261,12.1338613149956
1977,27.4399505296297,13.859903066801
1978,60.4610889336259,19.1825305947752
1979,71.2361204876921,25.5848402923517
1980,40.690717695996,21.0942396322719
1981,62.5521119167491,10.3294599293695
1982,77.0920374793021,15.9426833524421
1983,70.3863955879128,24.4835141690818
1984,63.3072590809913,40.9355959021563
1985,102.616629448726,9.54483337269317
1986,65.3658532140099,20.4708106347402
1987,90.8309421377785,9.04308158849936
1988,105.425021123733,25.8937078749534
1989,75.7167951172762,26.6289774322712
1990,108.96208743196,23.97472139367
1991,78.1789164041888,46.0164987195742
