species,stream,first,second,third,fourth,pop.cs
Rhinichthys.atratulus,Bohris,68,17,5,NA,91
Rhinichthys.cataractae,Bohris,55,11,9,NA,77
Semotilus.atromaculatus,Bohris,55,12,0,NA,67
Culaea.inconstans,Bohris,46,23,24,NA,130
Campostoma.anomalum,Joos,163,14,2,NA,179
Hotropis.dorsalis,Joos,250,37,6,NA,293
Rhinichthys.atratulus,Joos,33,10,2,NA,45
Rhinichthys.cataractae,Joos,129,33,4,NA,167
Semotilus.atromaculatus,Joos,163,12,2,NA,177
Catostomus.commersoni,Joos,39,1,0,NA,40
Etheostoma.nigrum,Joos,42,29,3,NA,78
Campostoma.anomalum,Kuenster,174,4,4,NA,182
Nocomis.bigattatus,Kuenster,63,1,0,NA,64
Laxilus.cornutus,Kuenster,249,4,1,NA,254
Notropis.dorsalis,Kuenster,9,3,0,NA,12
Phoxinus.erythrogaster,Kuenster,916,107,23,NA,1048
Pimephales.notatus,Kuenster,440,36,4,NA,280
Pimephales.promelas,Kuenster,25,2,0,NA,27
Semotilus.atromaculatus,Kuenster,10,0,0,NA,10
Catostomus.commersoni,Kuenster,32,0,0,NA,32
Etheostoma.flabellare,Kuenster,148,80,18,NA,263
Etheostoma.nigrum,Kuenster,20,8,2,NA,30
Umbra.limi,Lily,49,18,8,NA,79
Campostoma.anomalum,Lily,35,2,1,NA,38
Pimephales.notatus,Lily,10,1,0,NA,11
Rhinichthys.atratulus,Lily,322,35,14,NA,372
Semotilus.atromaculatus,Lily,196,23,16,NA,236
Catostomus.commersoni,Lily,93,15,2,NA,110
Culaea.inconstans,Lily,13,6,2,NA,21
Umbra.limi,Oak,105,24,19,NA,154
Semotilus.atromaculatus,Oak,688,104,38,NA,835
Catostomus.commersoni,Oak,277,9,3,NA,289
Lepomis.cyanellus,Oak,116,37,14,NA,173
Lepomis.gibbosus,Oak,480,88,33,NA,607
Etheostoma.nigrum,Pine,18,10,10,NA,51
Lampetra.appendix,Story,18,7,14,6,60
Salmo.trutta,Story,8,1,1,0,10
Salvelinus.fontinalis,Story,22,4,0,1,27
Pimephales.promelas,Story,16,3,4,1,24
Catostomus.commersoni,Story,11,0,0,0,11
Culaea.inconstans,Story,226,122,125,56,658
Cottus.bairdi,Story,53,36,20,13,141
Lampetra.appendix,TroutRun,7,1,3,NA,11
Cyprinus.carpio,TroutRun,9,1,1,NA,11
Hybognathus.hankinsoni,TroutRun,41,15,3,NA,60
Notropis.dorsalis,TroutRun,12,1,0,NA,13
Cyprinella.spiloptera,TroutRun,44,6,1,NA,51
Pimpehales.notatus,TroutRun,146,20,4,NA,170
Rhinichthys.atratulus,TroutRun,8,2,1,NA,11
Rhinichthys.cataractae,TroutRun,95,16,5,NA,116
Semotilus.atromaculatus,TroutRun,68,3,2,NA,73
Catostomus.commersoni,TroutRun,30,3,2,NA,35
Etheostoma.nigrum,TroutRun,128,18,1,NA,147
Salvelinus.fontinalis,WidowGreen,101,16,11,15,146
Phoxinus.eos,WidowGreen,11,2,2,1,16
Pimephales.promelas,WidowGreen,107,21,7,4,139
Lepomis.cyanellus,WidowGreen,6,4,1,3,15
Cottus.bairdi,WidowGreen,79,28,21,24,175
