year,t,caught,recaptures,newmarks
1959,1,145,0,145
1959,2,99,15,84
1959,3,145,9,136
1959,4,155,10,145
1959,5,177,40,137
1959,6,38,4,34
1959,7,308,64,244
1959,8,179,41,138
1959,9,290,68,222
1959,10,179,54,125
1959,11,248,68,0
1960,1,141,0,141
1960,2,110,6,104
1960,3,88,8,80
1960,4,97,13,84
1960,5,55,11,44
1960,6,105,32,73
1960,7,19,7,12
1960,8,163,44,119
1960,9,143,47,96
1960,10,106,30,76
1961,1,352,0,352
1961,2,291,31,260
1961,3,548,87,461
1961,4,372,96,276
1961,5,380,95,285
1961,6,260,109,151
1961,7,335,135,0
1962,1,321,0,321
1962,2,412,45,367
1962,3,178,55,123
1962,4,415,93,322
1962,5,367,113,0
