age,year73,year74,year75,year76,year77,year78,year79,year80,year81,year82,year83,year84,year85,year86,year87,year88
0,1,247,898,648,3993,34,1261,1443,694,94,6,119,33,14,85,1282
1,56,240,27,531,352,805,217,753,257,186,395,243,29,165,374,180
2,61,120,60,57,386,396,508,56,23,750,283,229,323,179,70,165
3,145,51,23,76,153,213,205,109,17,104,201,441,151,234,38,85
4,19,144,10,21,33,68,109,25,29,31,27,167,42,33,35,25
5,11,34,10,6,23,24,25,10,14,17,21,52,23,45,14,12
6,8,8,19,4,6,4,20,6,9,13,6,5,11,14,11,14
7,2,15,1,0,6,8,4,0,1,3,0,7,1,12,0,17
8,2,0,4,1,0,0,2,0,1,1,0,4,0,3,2,1
9,0,2,1,0,0,0,0,0,1,0,2,1,0,2,0,0
